"likely_id","cc_property_id","attom_id","broker","mls_name","status","date","year_built","StatusPrediction","Confidence","P(status=Active)Individualprobability","P(status=Sale)Individualprobability"
28439528,496453842,148867230,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-04-26 13:28:46",,"Sale",0.8075797798678489,0.19242022013215113,0.8075797798678489
17818360,340803678,166008000,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-03-31 17:51:48",,"Sale",0.8168713434056221,0.18312865659437788,0.8168713434056221
28430438,482880900,167790545,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-09-26 00:00:00",,"Active",0.5663841135655545,0.5663841135655545,0.4336158864344456
22839729,505246608,24657572,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-01-20 00:00:00",,"Sale",0.542352041211243,0.45764795878875714,0.542352041211243
17053972,284461724,27606066,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-02-26 11:47:40",,"Sale",0.7514875115828819,0.24851248841711812,0.7514875115828819
22533650,496381755,166683539,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-09-22 00:00:00",,"Sale",0.8721048562650973,0.12789514373490274,0.8721048562650973
17046694,284144777,205139611,"Victor Benjamin","Greater Las Vegas Association of Realtors MLS","Sale","2016-12-13 00:00:00",,"Sale",0.9742944895008792,0.02570551049912088,0.9742944895008792
16969496,278846147,148922364,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-02-10 00:00:00",,"Sale",0.7049457813891428,0.29505421861085723,0.7049457813891428
20356333,413323476,167824221,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-07-07 00:00:00",,"Sale",0.8928351588451185,0.10716484115488144,0.8928351588451185
16985555,279683228,2629084,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-03-08 00:00:00",,"Sale",0.7630415105685029,0.2369584894314971,0.7630415105685029
439998,6864113,155523078,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-05-03 00:00:00",,"Sale",0.9209420163962029,0.07905798360379712,0.9209420163962029
486615,7492748,3446776,"David Cavalier","North Texas Real Estate Information Systems","Active","2016-12-25 00:00:00",,"Sale",0.6619119898133525,0.3380880101866474,0.6619119898133525
28418825,431078322,27453619,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-01-13 00:00:00",,"Sale",0.568632168731916,0.4313678312680839,0.568632168731916
22537042,496431939,155044453,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-03 00:00:00",,"Sale",0.9869389501658424,0.013061049834157437,0.9869389501658424
22537059,496431990,166195712,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-10-16 00:00:00",,"Sale",0.8591838834142419,0.14081611658575807,0.8591838834142419
15522546,204946592,12993319,"David Cavalier","North Texas Real Estate Information Systems","Active","2016-12-03 11:12:45",,"Active",0.8166137966760617,0.8166137966760617,0.18338620332393835
22119036,485002794,148730505,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-02-14 17:19:34",,"Sale",0.6822641619742051,0.3177358380257949,0.6822641619742051
16958661,278395628,47783345,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-02-03 00:00:00",,"Sale",0.6399053961878481,0.36009460381215186,0.6399053961878481
22537963,496445340,35542841,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-01-24 15:20:06",,"Active",0.6812935184518739,0.6812935184518739,0.3187064815481261
465383,7224182,35463825,"David Cavalier","North Texas Real Estate Information Systems","Sale","2016-12-02 00:00:00",,"Sale",0.6524528206427326,0.3475471793572674,0.6524528206427326
532436,8090948,26832849,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-09-28 00:00:00",,"Sale",0.9798403585947686,0.020159641405231413,0.9798403585947686
448597,6987380,166005410,"David Cavalier","North Texas Real Estate Information Systems","Active","2016-12-07 11:05:14",,"Active",0.5050505613990162,0.5050505613990162,0.4949494386009839
438147,6839978,41470373,"David Cavalier","North Texas Real Estate Information Systems","Sale","2016-12-09 00:00:00",,"Active",0.5411898728927901,0.5411898728927901,0.45881012710720986
535265,8129945,26847540,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-01-27 00:00:01",,"Sale",0.7190128010666242,0.28098719893337587,0.7190128010666242
545728,8282111,21805513,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-03-03 00:00:00",,"Sale",0.7845205907013376,0.21547940929866238,0.7845205907013376
498441,7655207,34049742,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-02-17 00:00:00",,"Sale",0.6862819160080605,0.31371808399193946,0.6862819160080605
23728171,522548499,252335961,"David Cavalier","North Texas Real Estate Information Systems","Sale","2016-12-08 00:00:00",,"Sale",0.6096294600775626,0.3903705399224374,0.6096294600775626
23224046,513397044,249735431,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-01-24 00:00:00",,"Sale",0.6155881566358491,0.38441184336415085,0.6155881566358491
